Date,Store ID,Product ID,Forecast Type,Actual Demand,Predicted Demand,P10 Demand,P50 Demand,P90 Demand
2024-01-01,S001,P0001,Validation,62.0,66.67704655574319,,66.67704655574319,
2024-01-02,S001,P0001,Validation,31.0,40.07471891137374,,40.07471891137374,
2024-01-03,S001,P0001,Validation,52.0,68.67473489467535,,68.67473489467535,
2024-01-04,S001,P0001,Validation,47.0,69.03942485572252,,69.03942485572252,
2024-01-05,S001,P0001,Validation,71.0,61.118638472203415,,61.118638472203415,
2024-01-06,S001,P0001,Validation,52.0,54.647959612702444,,54.647959612702444,
2024-01-07,S001,P0001,Validation,71.0,58.35583300944915,,58.35583300944915,
2024-01-08,S001,P0001,Validation,28.0,56.006252917603376,,56.006252917603376,
2024-01-09,S001,P0001,Validation,75.0,61.02003817199553,,61.02003817199553,
2024-01-10,S001,P0001,Validation,98.0,77.32418869650945,,77.32418869650945,
2024-01-11,S001,P0001,Validation,141.0,140.00259836610488,,140.00259836610488,
2024-01-12,S001,P0001,Validation,83.0,85.13539045374868,,85.13539045374868,
2024-01-13,S001,P0001,Validation,111.0,99.41232378106135,,99.41232378106135,
2024-01-14,S001,P0001,Validation,74.0,80.41373637780963,,80.41373637780963,
2024-01-15,S001,P0001,Validation,114.0,100.95028229451012,,100.95028229451012,
2024-01-16,S001,P0001,Validation,31.0,33.60290343191396,,33.60290343191396,
2024-01-17,S001,P0001,Validation,88.0,81.6210677205776,,81.6210677205776,
2024-01-18,S001,P0001,Validation,86.0,90.46452570013678,,90.46452570013678,
2024-01-19,S001,P0001,Validation,90.0,94.04257867815792,,94.04257867815792,
2024-01-20,S001,P0001,Validation,141.0,135.26939087593234,,135.26939087593234,
2024-01-21,S001,P0001,Validation,109.0,105.60614425808019,,105.60614425808019,
2024-01-22,S001,P0001,Validation,218.0,188.2688986710054,,188.2688986710054,
2024-01-23,S001,P0001,Validation,68.0,75.24027797897689,,75.24027797897689,
2024-01-24,S001,P0001,Validation,98.0,94.76642368724285,,94.76642368724285,
2024-01-25,S001,P0001,Validation,137.0,133.4705329078045,,133.4705329078045,
2024-01-26,S001,P0001,Validation,72.0,83.89104041018247,,83.89104041018247,
2024-01-27,S001,P0001,Validation,99.0,91.04791310315892,,91.04791310315892,
2024-01-28,S001,P0001,Validation,139.0,116.59743072894204,,116.59743072894204,
2024-01-29,S001,P0001,Validation,112.0,111.07307030889963,,111.07307030889963,
2024-01-30,S001,P0001,Validation,111.0,115.99167537038497,,115.99167537038497,
2024-01-01,S001,P0002,Validation,105.0,103.83647298137718,,103.83647298137718,
2024-01-02,S001,P0002,Validation,172.0,157.40061301269327,,157.40061301269327,
2024-01-03,S001,P0002,Validation,156.0,139.90387208173863,,139.90387208173863,
2024-01-04,S001,P0002,Validation,115.0,109.71496610037973,,109.71496610037973,
2024-01-05,S001,P0002,Validation,62.0,79.15556266180856,,79.15556266180856,
2024-01-06,S001,P0002,Validation,157.0,163.51233097694816,,163.51233097694816,
2024-01-07,S001,P0002,Validation,132.0,131.55105785367607,,131.55105785367607,
2024-01-08,S001,P0002,Validation,172.0,174.30165658512865,,174.30165658512865,
2024-01-09,S001,P0002,Validation,73.0,73.7159998624352,,73.7159998624352,
2024-01-10,S001,P0002,Validation,147.0,141.97515992242566,,141.97515992242566,
2024-01-11,S001,P0002,Validation,111.0,110.33615136757055,,110.33615136757055,
2024-01-12,S001,P0002,Validation,131.0,140.54160077624542,,140.54160077624542,
2024-01-13,S001,P0002,Validation,103.0,115.83307273020651,,115.83307273020651,
2024-01-14,S001,P0002,Validation,119.0,109.1425472508728,,109.1425472508728,
2024-01-15,S001,P0002,Validation,123.0,138.68304292839497,,138.68304292839497,
2024-01-16,S001,P0002,Validation,153.0,166.22791468786951,,166.22791468786951,
2024-01-17,S001,P0002,Validation,115.0,120.84551521683275,,120.84551521683275,
2024-01-18,S001,P0002,Validation,134.0,129.16971404124254,,129.16971404124254,
2024-01-19,S001,P0002,Validation,39.0,48.5478862709068,,48.5478862709068,
2024-01-20,S001,P0002,Validation,120.0,122.26049455495804,,122.26049455495804,
2024-01-21,S001,P0002,Validation,121.0,126.35674896791299,,126.35674896791299,
2024-01-22,S001,P0002,Validation,147.0,159.16569050593048,,159.16569050593048,
2024-01-23,S001,P0002,Validation,71.0,77.65146070690217,,77.65146070690217,
2024-01-24,S001,P0002,Validation,150.0,145.36773153281604,,145.36773153281604,
2024-01-25,S001,P0002,Validation,91.0,102.72145786887653,,102.72145786887653,
2024-01-26,S001,P0002,Validation,144.0,155.56841386742386,,155.56841386742386,
2024-01-27,S001,P0002,Validation,125.0,142.90910345201328,,142.90910345201328,
2024-01-28,S001,P0002,Validation,114.0,126.15582263497372,,126.15582263497372,
2024-01-29,S001,P0002,Validation,64.0,74.05507554761738,,74.05507554761738,
2024-01-30,S001,P0002,Validation,119.0,108.3367225661751,,108.3367225661751,
2024-01-01,S001,P0003,Validation,104.0,108.14148496811869,,108.14148496811869,
2024-01-02,S001,P0003,Validation,126.0,113.29992756506175,,113.29992756506175,
2024-01-03,S001,P0003,Validation,175.0,187.1733854723249,,187.1733854723249,
2024-01-04,S001,P0003,Validation,78.0,85.64067874734604,,85.64067874734604,
2024-01-05,S001,P0003,Validation,161.0,156.2414533811568,,156.2414533811568,
2024-01-06,S001,P0003,Validation,188.0,162.79148189873536,,162.79148189873536,
2024-01-07,S001,P0003,Validation,108.0,95.71134969227568,,95.71134969227568,
2024-01-08,S001,P0003,Validation,108.0,114.84970378981248,,114.84970378981248,
2024-01-09,S001,P0003,Validation,54.0,49.77757655018011,,49.77757655018011,
2024-01-10,S001,P0003,Validation,124.0,113.12445641893558,,113.12445641893558,
2024-01-11,S001,P0003,Validation,168.0,151.5860360135752,,151.5860360135752,
2024-01-12,S001,P0003,Validation,105.0,107.57836573398374,,107.57836573398374,
2024-01-13,S001,P0003,Validation,125.0,135.84784484818985,,135.84784484818985,
2024-01-14,S001,P0003,Validation,66.0,75.62052024815574,,75.62052024815574,
2024-01-15,S001,P0003,Validation,107.0,98.16155484336903,,98.16155484336903,
2024-01-16,S001,P0003,Validation,145.0,135.91181384298554,,135.91181384298554,
