Store ID,Product ID,Forecast_Horizon_Total,Forecast_Daily_Avg,Forecast_Daily_Std,Category,Region,Inventory Date,Current Inventory,Historical_Avg_Demand,Historical_Std_Demand,Historical_Min_Demand,Historical_Max_Demand,Demand_Std_Used,Safety Stock,Lead Time Demand,Reorder Point,Target Inventory,Recommended Order,Projected Inventory,Days Until Stockout,Projected Shortage,Inventory Coverage Ratio,Inventory Ratio,Risk Level,Risk Score,Recommended Action,Lead Time Days,Service Level,Forecast Horizon Days
S003,P0009,1131.61,161.66,1.18,Groceries,East,2024-01-30,123,121.18,47.61,4,311,47.61,135.65,484.97,620.62,1267.26,1145.0,-1008.61,0.76,1008.61,0.11,0.2,High,3,Urgent Replenishment,3,0.95,7
S002,P0018,1066.81,152.4,2.07,Clothing,South,2024-01-30,61,106.37,37.33,4,252,37.33,106.35,457.21,563.55,1173.16,1113.0,-1005.81,0.4,1005.81,0.06,0.11,High,3,Urgent Replenishment,3,0.95,7
S005,P0002,1135.9,162.27,10.57,Electronics,North,2024-01-30,156,95.89,39.56,4,225,39.56,112.7,486.81,599.52,1248.6,1093.0,-979.9,0.96,979.9,0.14,0.26,High,3,Urgent Replenishment,3,0.95,7
S003,P0006,1111.8,158.83,1.32,Toys,East,2024-01-30,156,93.21,47.34,5,361,47.34,134.89,476.48,611.38,1246.69,1091.0,-955.8,0.98,955.8,0.14,0.26,High,3,Urgent Replenishment,3,0.95,7
S003,P0010,1022.44,146.06,1.07,Groceries,East,2024-01-30,111,121.05,47.54,4,305,47.54,135.46,438.19,573.65,1157.9,1047.0,-911.44,0.76,911.44,0.11,0.19,High,3,Urgent Replenishment,3,0.95,7
S003,P0019,979.75,139.96,0.72,Groceries,East,2024-01-30,108,122.05,48.35,4,333,48.35,137.75,419.89,557.65,1117.5,1010.0,-871.75,0.77,871.75,0.11,0.19,High,3,Urgent Replenishment,3,0.95,7
S003,P0014,1179.43,168.49,3.57,Groceries,East,2024-01-30,350,119.4,45.7,16,311,45.7,130.21,505.47,635.68,1309.64,960.0,-829.43,2.08,829.43,0.3,0.55,High,3,Urgent Replenishment,3,0.95,7
S003,P0011,966.53,138.08,1.63,Electronics,East,2024-01-30,143,106.94,42.84,5,257,42.84,122.05,414.23,536.28,1088.58,946.0,-823.53,1.04,823.53,0.15,0.27,High,3,Urgent Replenishment,3,0.95,7
S005,P0017,940.85,134.41,1.02,Toys,North,2024-01-30,137,91.47,47.11,4,257,47.11,134.24,403.22,537.46,1075.09,939.0,-803.85,1.02,803.85,0.15,0.25,High,3,Urgent Replenishment,3,0.95,7
S002,P0013,915.06,130.72,0.64,Groceries,South,2024-01-30,125,122.88,50.37,4,309,50.37,143.5,392.17,535.67,1058.56,934.0,-790.06,0.96,790.06,0.14,0.23,High,3,Urgent Replenishment,3,0.95,7
S004,P0017,935.36,133.62,1.6,Clothing,West,2024-01-30,166,110.31,39.83,4,264,39.83,113.49,400.87,514.35,1048.84,883.0,-769.36,1.24,769.36,0.18,0.32,High,3,Urgent Replenishment,3,0.95,7
S001,P0013,834.56,119.22,0.94,Toys,North,2024-01-30,91,92.79,46.94,5,257,46.94,133.74,357.67,491.41,968.3,878.0,-743.56,0.76,743.56,0.11,0.19,High,3,Urgent Replenishment,3,0.95,7
S003,P0003,816.05,116.58,0.48,Electronics,East,2024-01-30,95,110.52,46.78,11,324,46.78,133.28,349.74,483.02,949.33,855.0,-721.05,0.81,721.05,0.12,0.2,High,3,Urgent Replenishment,3,0.95,7
S003,P0016,883.52,126.22,1.29,Electronics,East,2024-01-30,161,106.49,45.74,4,276,45.74,130.32,378.65,508.97,1013.84,853.0,-722.52,1.28,722.52,0.18,0.32,High,3,Urgent Replenishment,3,0.95,7
S005,P0006,976.1,139.44,1.76,Groceries,North,2024-01-30,266,123.42,48.32,17,373,48.32,137.67,418.33,555.99,1113.77,848.0,-710.1,1.91,710.1,0.27,0.48,High,3,Urgent Replenishment,3,0.95,7
S002,P0006,831.13,118.73,2.13,Clothing,South,2024-01-30,98,108.99,38.99,4,255,38.99,111.08,356.2,467.28,942.21,845.0,-733.13,0.83,733.13,0.12,0.21,High,3,Urgent Replenishment,3,0.95,7
S005,P0004,833.54,119.08,1.22,Groceries,North,2024-01-30,141,123.29,48.76,20,315,48.76,138.94,357.23,496.17,972.48,832.0,-692.54,1.18,692.54,0.17,0.28,High,3,Urgent Replenishment,3,0.95,7
S001,P0002,801.54,114.51,0.36,Clothing,North,2024-01-30,136,124.64,45.58,16,285,45.58,129.87,343.52,473.38,931.41,796.0,-665.54,1.19,665.54,0.17,0.29,High,3,Urgent Replenishment,3,0.95,7
S003,P0007,836.22,119.46,0.8,Groceries,East,2024-01-30,187,122.18,46.41,20,289,46.41,132.23,358.38,490.61,968.45,782.0,-649.22,1.57,649.22,0.22,0.38,High,3,Urgent Replenishment,3,0.95,7
S004,P0010,859.51,122.79,0.39,Groceries,West,2024-01-30,247,120.07,47.35,12,293,47.35,134.9,368.36,503.26,994.41,748.0,-612.51,2.01,612.51,0.29,0.49,High,3,Urgent Replenishment,3,0.95,7
