Store ID,Product ID,Category,Region,Inventory Date,Current Inventory,Forecast P10 Demand,Forecast P50 Demand,Forecast P90 Demand,Lead Time Days,Lead Time P50 Demand,Lead Time P90 Demand,Safety Stock,Reorder Point,Target Inventory,Recommended Order,Projected Shortage,Days Until Stockout,Inventory Coverage Days,Stockout Risk,Risk Level,Action Priority,Historical Avg Daily Demand,Historical Daily Std Demand,Forecast Uncertainty
S002,P0018,Clothing,South,2024-01-30,61.0,482.61,686.74,936.07,3,295.59,405.79,111,406,937,876,875.07,0.62,0.62,100.0,High,Urgent Replenishment,106.37,37.33,37.33
S002,P0016,Clothing,South,2024-01-30,88.0,727.83,846.13,913.35,3,357.34,388.06,111,468,957,869,825.35,0.74,0.73,100.0,High,Urgent Replenishment,108.33,38.76,38.76
S002,P0011,Groceries,South,2024-01-30,73.0,423.97,675.34,845.18,3,288.33,367.42,137,425,846,773,772.18,0.75,0.76,100.0,High,Urgent Replenishment,119.29,47.93,47.93
S002,P0010,Groceries,South,2024-01-30,143.0,889.68,1292.28,1385.03,3,557.14,604.38,142,699,1434,1291,1242.03,0.77,0.77,100.0,High,Urgent Replenishment,122.72,49.54,49.54
S004,P0020,Furniture,West,2024-01-30,79.0,659.26,704.39,788.27,3,302.18,335.97,94,397,799,720,709.27,0.78,0.79,100.0,High,Urgent Replenishment,73.55,32.98,32.98
S005,P0017,Toys,North,2024-01-30,137.0,664.88,1157.11,1158.27,3,501.71,501.71,135,636,1292,1155,1021.27,0.81,0.83,100.0,High,Urgent Replenishment,91.47,47.11,47.11
S003,P0019,Groceries,East,2024-01-30,108.0,763.44,974.18,1020.02,3,409.37,434.82,138,548,1112,1004,912.02,0.81,0.78,100.0,High,Urgent Replenishment,122.05,48.35,48.35
S001,P0013,Toys,North,2024-01-30,91.0,609.57,771.28,833.15,3,329.13,354.45,134,463,906,815,742.15,0.83,0.83,100.0,High,Urgent Replenishment,92.79,46.94,46.94
S003,P0003,Electronics,East,2024-01-30,95.0,617.02,739.44,829.09,3,319.57,354.97,134,453,873,778,734.09,0.88,0.9,100.0,High,Urgent Replenishment,110.52,46.78,46.78
S003,P0011,Electronics,East,2024-01-30,143.0,828.43,1077.84,1170.71,3,459.01,499.12,123,582,1200,1057,1027.71,0.92,0.93,100.0,High,Urgent Replenishment,106.94,42.84,42.84
S003,P0020,Clothing,East,2024-01-30,113.0,659.87,845.72,914.12,3,352.74,381.48,115,468,961,848,801.12,0.95,0.94,100.0,High,Urgent Replenishment,109.66,40.13,40.13
S002,P0006,Clothing,South,2024-01-30,98.0,659.7,688.04,840.91,3,302.39,364.98,112,414,841,743,742.91,0.97,1.0,100.0,High,Urgent Replenishment,108.99,38.99,38.99
S003,P0009,Groceries,East,2024-01-30,123.0,623.04,837.02,985.93,3,362.71,424.82,136,499,986,863,862.93,1.01,1.03,100.0,High,Urgent Replenishment,121.18,47.61,47.61
S001,P0002,Clothing,North,2024-01-30,136.0,685.43,952.23,1025.55,3,400.32,432.42,130,531,1083,947,889.55,1.03,1.0,100.0,High,Urgent Replenishment,124.64,45.58,45.58
S005,P0009,Groceries,North,2024-01-30,136.0,762.38,975.78,1068.03,3,387.29,434.71,135,522,1111,975,932.03,1.05,0.98,100.0,High,Urgent Replenishment,120.66,47.21,47.21
S002,P0013,Groceries,South,2024-01-30,125.0,562.64,816.08,1046.84,3,349.85,448.52,144,494,1047,922,921.84,1.07,1.07,100.0,High,Urgent Replenishment,122.88,50.37,50.37
S003,P0006,Toys,East,2024-01-30,156.0,571.13,969.21,1065.95,3,414.73,445.98,135,550,1105,949,909.95,1.12,1.13,100.0,High,Urgent Replenishment,93.21,47.34,47.34
S001,P0009,Clothing,North,2024-01-30,128.0,583.83,788.3,988.15,3,343.17,429.06,126,470,989,861,860.15,1.12,1.14,100.0,High,Urgent Replenishment,121.73,44.21,44.21
S003,P0010,Groceries,East,2024-01-30,111.0,366.05,662.31,871.47,3,288.17,368.61,136,424,872,761,760.47,1.15,1.17,100.0,High,Urgent Replenishment,121.05,47.54,47.54
